Tc,Wb,Ec,Lb,Tb,Ea,σa,εa,Ab,Ar,Jt,Bt
1.4,50,164,350,0.5,3.85,38.3,1.33,17500,7,0,0
1.44,25,185,220,1,11.2,30,0.27,5500,8.8,0,0
1.4,20,457.8,80,0.5,1.9,32,4,1600,4,1,1
1.4,50,165,70,1,4.84,41.8,1.13,3500,1.4,0,0
1.4,10,159.4,110,0.5,1.9,32,4,1100,11,1,1
1.4,20,457.8,110,0.5,1.9,32,4,2200,5.5,1,1
1.4,50,150,200,1.1,3.2,30,1.32,10000,4,1,0
1.4,30,197,90,0.9,4.5,32,0.3,2700,3,1,0
1.26,10,163.3,10,1,8.432,21.76,0.34,100,1,1,0
1.4,50,165,350,1,4.84,41.8,1.13,17500,7,0,0
1.4,30,197,120,1,4.5,32,0.3,3600,4,1,0
1.5,50,205,50,0.5,2.229,34,1.8,2500,1,1,0
2.4,100,160.73,250,1,4.01,22.53,0.56,25000,2.5,0,0
1.4,50,164,350,1,1.7,20.5,1.52,17500,7,0,1
0.2,50,205,70,0.5,2.229,34,1.8,3500,1.4,1,0
1.4,50,165,80,0.2,5.3,38,1.13,4000,1.6,1,1
1.4,50,165,350,1,4.84,41.8,1.13,17500,7,0,0
1.4,50,165,60,1,1.7,20.5,1.52,3000,1.2,0,1
1.4,50,165,80,0.4,5.3,38,1.13,4000,1.6,1,1
1.26,10,163.3,200,1,8.432,21.76,0.34,2000,20,1,0
1.4,20,203,120,0.5,1.9,32,4,2400,6,1,1
1.4,50,165,80,0.3,5.3,38,1.13,4000,1.6,1,1
1.4,30,197,90,0.9,4.5,32,0.3,2700,3,1,0
1.9,25,183,60,0.78,1.45,19,2.98,1500,2.4,1,0
1.2,50,150,300,0.99,1.75,14.73,1.51,15000,6,0,1
1.4,20,203,60,0.5,1.9,32,4,1200,3,1,1
1.4,10,159.4,100,0.5,1.9,32,4,1000,10,1,1
1.5,25,173,200,1,1.74,39.7,6.24,5000,8,0,1
1.4,10,159.4,50,0.5,1.9,32,4,500,5,1,1
3.049,20,165,12,2,4.5,30,0.09,240,0.6,0,0
1.4,50,164,350,0.45,1.75,15.1,1.74,17500,7,0,0
0.84,25,640,75,1,3.255,57.6,1.9,1875,3,1,0
2.961,30,165,12.8,2,4.5,30,0.09,384,0.43,0,0
1.9,25,183,30,0.65,1.45,19,2.98,750,1.2,1,0
1.5,25,173,200,1.44,3.15,52.81,1.92,5000,8,0,0
2,25,117,30,0.65,4.95,30,0.61,750,1.2,1,0
1.4,50,150,80,1.01,3.2,30,1.32,4000,1.6,1,0
1.4,50,165,80,0.1,5.3,38,1.13,4000,1.6,1,1
1.4,50,161.2,180,1.2,4.43,30,0.54,9000,3.6,0,0
1.4,50,165,350,1,3.85,38.3,1.33,17500,7,0,0
1.2,50,210,120,1,11.25,22.34,0.2,6000,2.4,0,0
1.8,25,117,30,0.44,4.95,30,0.61,750,1.2,1,1
3,50,164,350,0.5,1.7,20.5,1.52,17500,7,0,1
0.5,25,230,140,0.7,2.03,24.8,1.22,3500,5.6,0,1
0.5,25,230,20,0.7,2.03,24.8,1.22,500,0.8,1,1
1.4,10,159.4,90,0.5,1.9,32,4,900,9,1,1
0.84,25,640,75,1,1.35,34.9,13.6,1875,3,1,1
1.4,25,205,75,1,1.24,23.3,18.4,1875,3,1,1
1.4,50,164,350,0.94,12.2,27.6,0.29,17500,7,0,0
1.4,10,159.4,80,0.5,1.9,32,4,800,8,1,1
1.45,50,478.73,120,0.36,1.9,28.6,2.4,6000,2.4,1,1
1.4,10,159.4,60,0.5,1.9,32,4,600,6,1,1
1.4,60,197,60,0.8,4.5,32,0.3,3600,1,1,0
1.4,25,205,75,0.6,1.35,34.9,13.6,1875,3,1,1
1.4,60,197,120,1,4.5,32,0.3,7200,2,1,0
1.4,30,155.9,30,0.39,1.744,30,4.6,900,1,1,1
1.4,10,159.4,100,0.5,1.9,32,4,1000,10,1,1
1.4,10,159.4,120,0.5,1.9,32,4,1200,12,1,1
1.4,50,165,80,0.5,5.3,38,1.13,4000,1.6,1,1
1.4,50,164,70,1,4.84,41.8,1.08,3500,1.4,0,0
3.014,30,165,14,2,4.5,30,0.09,420,0.47,0,0
1.8,25,183,60,0.66,1.45,19,2.98,1500,2.4,1,1
1.4,50,164,350,0.99,1.75,15.1,1.74,17500,7,0,0
1.4,50,165,80,1,5.3,38,1.13,4000,1.6,1,1
1.44,25,185,220,1,11.3,33.1,0.29,5500,8.8,0,0
1.4,50,165,350,0.5,1.7,20.5,1.52,17500,7,0,1
1.2,50,165,350,1.84,4.01,22.53,0.56,17500,7,0,0
1.44,25,185,220,1,3.13,50,1.6,5500,8.8,0,0
1.44,25,185,220,1,3.13,50,1.6,5500,8.8,0,0
2,25,183,30,0.53,1.45,19,2.98,750,1.2,1,1
1.4,50,150,80,0.91,3.2,30,1.32,4000,1.6,1,0
1.45,50,478.73,30,0.35,1.9,28.6,2.4,1500,0.6,1,1
0.2,50,205,70,0.5,2.229,34,1.8,3500,1.4,1,0
1.4,25,205,75,1,7.6,33.16,0.54,1875,3,1,0
1.4,10,159.4,80,0.5,1.9,32,4,800,8,1,1
1.4,20,457.8,40,0.5,1.9,32,4,800,2,1,1
1.4,25,205,75,1,1.24,23.3,18.4,1875,3,1,1
0.5,25,230,40,0.7,2.03,24.8,1.22,1000,1.6,1,1
1.4,50,165,120,1,1.7,20.5,1.52,6000,2.4,0,1
1.4,50,165,80,0.3,5.3,38,1.13,4000,1.6,1,1
3.05,10,165,15,2,4.5,30,0.09,150,1.5,0,0
0.84,25,640,75,1,1.35,34.9,13.6,1875,3,1,1
3,50,164,350,0.5,4.84,41.8,1.08,17500,7,0,0
1.4,50,164,50,1,4.84,41.8,1.08,2500,1,0,0
1.4,10,159.4,60,0.5,1.9,32,4,600,6,1,1
1.4,50,164,350,2,3.85,38.3,1.33,17500,7,0,0
0.2,50,205,70,0.5,2.229,34,1.8,3500,1.4,1,0
1.2,50,210,120,1,11.25,22.34,0.2,6000,2.4,0,0
1.5,25,173,200,1.46,3.15,52.81,1.92,5000,8,0,0
1.4,50,161.2,180,1.14,4.43,30,0.54,9000,3.6,0,0
1.2,50,165,180,1.18,4.43,30,0.54,9000,3.6,0,0
2,25,183,60,2.06,1.45,19,2.98,1500,2.4,1,0
1.4,10,159.4,80,0.5,1.9,32,4,800,8,1,1
1.4,50,165,80,0.4,5.3,38,1.13,4000,1.6,1,1
1.4,50,165,90,1,4.84,41.8,1.13,4500,1.8,0,0
1.4,50,161.2,180,1.27,1.5,29,4.6,9000,3.6,0,1
1.2,50,165,350,1.98,4.01,22.53,0.56,17500,7,0,0
2.4,100,159.56,250,1,10.79,20.48,0.19,25000,2.5,0,0
1.4,20,203,130,0.5,1.9,32,4,2600,6.5,1,1
1.5,25,173,200,0.42,3.15,52.81,1.92,5000,8,0,0
2.3,52,460,120,1,2.4,29.5,1.23,6240,2.31,0,1
1.4,50,164,350,0.56,12.2,27.6,0.29,17500,7,0,0
1.4,10,159.4,70,0.5,1.9,32,4,700,7,1,1
1.4,50,170,200,1.04,11.25,25.3,0.33,10000,4,0,0
1.45,50,478.73,80,0.35,9.28,24,0.3,4000,1.6,1,0
1.2,100,156.24,250,1,10.79,20.48,0.19,25000,2.5,0,0
1.4,20,159.4,90,0.5,1.9,32,4,1800,4.5,1,1
1.4,50,164,120,1.03,12.2,27.6,0.29,6000,2.4,0,0
1.4,20,159.4,120,0.5,1.9,32,4,2400,6,1,1
1.4,25,205,50,1,7.6,33.16,0.54,1250,2,1,0
1.5,25,173,200,0.58,1.74,39.7,6.24,5000,8,0,1
1.4,50,161.2,180,1.15,4.43,30,0.54,9000,3.6,0,0
0.5,25,230,20,0.7,2.03,24.8,1.22,500,0.8,0,1
1.4,50,164,350,1.91,12.2,27.6,0.29,17500,7,0,0
2.99,10,165,15,2,4.5,30,0.09,150,1.5,0,0
1.4,10,159.4,60,0.5,1.9,32,4,600,6,1,1
1.4,20,203,110,0.5,1.9,32,4,2200,5.5,1,1
1.4,10,159.4,90,0.5,1.9,32,4,900,9,1,1
1.26,10,163.3,135,1,8.432,21.76,0.34,1350,13.5,1,0
3.055,20,165,16,2,4.5,30,0.09,320,0.8,0,0
1.44,25,185,220,1,11.3,33.1,0.29,5500,8.8,0,0
1.4,50,150,150,1.02,3.2,30,1.32,7500,3,1,0
1.4,50,165,80,0.1,5.3,38,1.13,4000,1.6,1,1
1.4,50,161.2,180,1.19,2.73,27.5,1.57,9000,3.6,0,0
